"N","Time","avg(Cardinality)","avg(M2)","avg(M3)","avg(M4)","avg(Maximum)","avg(Mean)","avg(Minimum)","avg(vtkOriginalRowIds)","max(Cardinality)","max(M2)","max(M3)","max(M4)","max(Maximum)","max(Mean)","max(Minimum)","max(Variable)","max(vtkOriginalRowIds)","med(Cardinality)","med(M2)","med(M3)","med(M4)","med(Maximum)","med(Mean)","med(Minimum)","med(Variable)","med(vtkOriginalRowIds)","min(Cardinality)","min(M2)","min(M3)","min(M4)","min(Maximum)","min(Mean)","min(Minimum)","min(Variable)","min(vtkOriginalRowIds)","q1(Cardinality)","q1(M2)","q1(M3)","q1(M4)","q1(Maximum)","q1(Mean)","q1(Minimum)","q1(Variable)","q1(vtkOriginalRowIds)","q3(Cardinality)","q3(M2)","q3(M3)","q3(M4)","q3(Maximum)","q3(Mean)","q3(Minimum)","q3(Variable)","q3(vtkOriginalRowIds)","std(Cardinality)","std(M2)","std(M3)","std(M4)","std(Maximum)","std(Mean)","std(Minimum)","std(vtkOriginalRowIds)","vtkValidPointMask"
1,0,16128,0,0,0,0,0,0,0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.01,16128,8.8677e+15,-2.0894e+20,1.9643e+28,2.358e+06,-1014.1,-3.7304e+06,0,16128,8.8677e+15,-2.0894e+20,1.9643e+28,2.358e+06,-1014.1,-3.7304e+06,"stress_x_0",0,16128,8.8677e+15,-2.0894e+20,1.9643e+28,2.358e+06,-1014.1,-3.7304e+06,"stress_x_0",0,16128,8.8677e+15,-2.0894e+20,1.9643e+28,2.358e+06,-1014.1,-3.7304e+06,"stress_x_0",0,16128,8.8677e+15,-2.0894e+20,1.9643e+28,2.358e+06,-1014.1,-3.7304e+06,"stress_x_0",0,16128,8.8677e+15,-2.0894e+20,1.9643e+28,2.358e+06,-1014.1,-3.7304e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.02,16128,2.1028e+16,-3.1497e+20,1.1406e+29,3.5117e+06,87.452,-5.1533e+06,0,16128,2.1028e+16,-3.1497e+20,1.1406e+29,3.5117e+06,87.452,-5.1533e+06,"stress_x_0",0,16128,2.1028e+16,-3.1497e+20,1.1406e+29,3.5117e+06,87.452,-5.1533e+06,"stress_x_0",0,16128,2.1028e+16,-3.1497e+20,1.1406e+29,3.5117e+06,87.452,-5.1533e+06,"stress_x_0",0,16128,2.1028e+16,-3.1497e+20,1.1406e+29,3.5117e+06,87.452,-5.1533e+06,"stress_x_0",0,16128,2.1028e+16,-3.1497e+20,1.1406e+29,3.5117e+06,87.452,-5.1533e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.03,16128,4.0472e+16,-4.0779e+20,3.5909e+29,4.5256e+06,-1740.3,-6.1142e+06,0,16128,4.0472e+16,-4.0779e+20,3.5909e+29,4.5256e+06,-1740.3,-6.1142e+06,"stress_x_0",0,16128,4.0472e+16,-4.0779e+20,3.5909e+29,4.5256e+06,-1740.3,-6.1142e+06,"stress_x_0",0,16128,4.0472e+16,-4.0779e+20,3.5909e+29,4.5256e+06,-1740.3,-6.1142e+06,"stress_x_0",0,16128,4.0472e+16,-4.0779e+20,3.5909e+29,4.5256e+06,-1740.3,-6.1142e+06,"stress_x_0",0,16128,4.0472e+16,-4.0779e+20,3.5909e+29,4.5256e+06,-1740.3,-6.1142e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.04,16128,6.8412e+16,-6.0811e+20,9.1647e+29,5.4374e+06,-3570.2,-7.284e+06,0,16128,6.8412e+16,-6.0811e+20,9.1647e+29,5.4374e+06,-3570.2,-7.284e+06,"stress_x_0",0,16128,6.8412e+16,-6.0811e+20,9.1647e+29,5.4374e+06,-3570.2,-7.284e+06,"stress_x_0",0,16128,6.8412e+16,-6.0811e+20,9.1647e+29,5.4374e+06,-3570.2,-7.284e+06,"stress_x_0",0,16128,6.8412e+16,-6.0811e+20,9.1647e+29,5.4374e+06,-3570.2,-7.284e+06,"stress_x_0",0,16128,6.8412e+16,-6.0811e+20,9.1647e+29,5.4374e+06,-3570.2,-7.284e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.05,16128,1.0681e+17,-1.5047e+21,2.241e+30,6.906e+06,-5495.7,-9.1074e+06,0,16128,1.0681e+17,-1.5047e+21,2.241e+30,6.906e+06,-5495.7,-9.1074e+06,"stress_x_0",0,16128,1.0681e+17,-1.5047e+21,2.241e+30,6.906e+06,-5495.7,-9.1074e+06,"stress_x_0",0,16128,1.0681e+17,-1.5047e+21,2.241e+30,6.906e+06,-5495.7,-9.1074e+06,"stress_x_0",0,16128,1.0681e+17,-1.5047e+21,2.241e+30,6.906e+06,-5495.7,-9.1074e+06,"stress_x_0",0,16128,1.0681e+17,-1.5047e+21,2.241e+30,6.906e+06,-5495.7,-9.1074e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.06,16128,1.5262e+17,-3.3499e+21,4.4474e+30,8.0348e+06,-8125.2,-1.1028e+07,0,16128,1.5262e+17,-3.3499e+21,4.4474e+30,8.0348e+06,-8125.2,-1.1028e+07,"stress_x_0",0,16128,1.5262e+17,-3.3499e+21,4.4474e+30,8.0348e+06,-8125.2,-1.1028e+07,"stress_x_0",0,16128,1.5262e+17,-3.3499e+21,4.4474e+30,8.0348e+06,-8125.2,-1.1028e+07,"stress_x_0",0,16128,1.5262e+17,-3.3499e+21,4.4474e+30,8.0348e+06,-8125.2,-1.1028e+07,"stress_x_0",0,16128,1.5262e+17,-3.3499e+21,4.4474e+30,8.0348e+06,-8125.2,-1.1028e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.07,16128,2.0545e+17,-2.2425e+21,7.7795e+30,9.0275e+06,-5371.6,-1.2028e+07,0,16128,2.0545e+17,-2.2425e+21,7.7795e+30,9.0275e+06,-5371.6,-1.2028e+07,"stress_x_0",0,16128,2.0545e+17,-2.2425e+21,7.7795e+30,9.0275e+06,-5371.6,-1.2028e+07,"stress_x_0",0,16128,2.0545e+17,-2.2425e+21,7.7795e+30,9.0275e+06,-5371.6,-1.2028e+07,"stress_x_0",0,16128,2.0545e+17,-2.2425e+21,7.7795e+30,9.0275e+06,-5371.6,-1.2028e+07,"stress_x_0",0,16128,2.0545e+17,-2.2425e+21,7.7795e+30,9.0275e+06,-5371.6,-1.2028e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.08,16128,2.675e+17,-2.1485e+21,1.3079e+31,1.0179e+07,-3967.9,-1.3363e+07,0,16128,2.675e+17,-2.1485e+21,1.3079e+31,1.0179e+07,-3967.9,-1.3363e+07,"stress_x_0",0,16128,2.675e+17,-2.1485e+21,1.3079e+31,1.0179e+07,-3967.9,-1.3363e+07,"stress_x_0",0,16128,2.675e+17,-2.1485e+21,1.3079e+31,1.0179e+07,-3967.9,-1.3363e+07,"stress_x_0",0,16128,2.675e+17,-2.1485e+21,1.3079e+31,1.0179e+07,-3967.9,-1.3363e+07,"stress_x_0",0,16128,2.675e+17,-2.1485e+21,1.3079e+31,1.0179e+07,-3967.9,-1.3363e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.09,16128,3.3724e+17,-4.3839e+21,2.043e+31,1.1207e+07,-7531.3,-1.473e+07,0,16128,3.3724e+17,-4.3839e+21,2.043e+31,1.1207e+07,-7531.3,-1.473e+07,"stress_x_0",0,16128,3.3724e+17,-4.3839e+21,2.043e+31,1.1207e+07,-7531.3,-1.473e+07,"stress_x_0",0,16128,3.3724e+17,-4.3839e+21,2.043e+31,1.1207e+07,-7531.3,-1.473e+07,"stress_x_0",0,16128,3.3724e+17,-4.3839e+21,2.043e+31,1.1207e+07,-7531.3,-1.473e+07,"stress_x_0",0,16128,3.3724e+17,-4.3839e+21,2.043e+31,1.1207e+07,-7531.3,-1.473e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
