"N","Time","avg(Cardinality)","avg(M2)","avg(M3)","avg(M4)","avg(Maximum)","avg(Mean)","avg(Minimum)","avg(vtkOriginalRowIds)","max(Cardinality)","max(M2)","max(M3)","max(M4)","max(Maximum)","max(Mean)","max(Minimum)","max(Variable)","max(vtkOriginalRowIds)","med(Cardinality)","med(M2)","med(M3)","med(M4)","med(Maximum)","med(Mean)","med(Minimum)","med(Variable)","med(vtkOriginalRowIds)","min(Cardinality)","min(M2)","min(M3)","min(M4)","min(Maximum)","min(Mean)","min(Minimum)","min(Variable)","min(vtkOriginalRowIds)","q1(Cardinality)","q1(M2)","q1(M3)","q1(M4)","q1(Maximum)","q1(Mean)","q1(Minimum)","q1(Variable)","q1(vtkOriginalRowIds)","q3(Cardinality)","q3(M2)","q3(M3)","q3(M4)","q3(Maximum)","q3(Mean)","q3(Minimum)","q3(Variable)","q3(vtkOriginalRowIds)","std(Cardinality)","std(M2)","std(M3)","std(M4)","std(Maximum)","std(Mean)","std(Minimum)","std(vtkOriginalRowIds)","vtkValidPointMask"
1,0,16128,0,0,0,0,0,0,0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.01,16128,2.587e+15,-4.7422e+20,1.2424e+27,8.148e+05,-22019,-1.3257e+06,0,16128,2.587e+15,-4.7422e+20,1.2424e+27,8.148e+05,-22019,-1.3257e+06,"stress_x_0",0,16128,2.587e+15,-4.7422e+20,1.2424e+27,8.148e+05,-22019,-1.3257e+06,"stress_x_0",0,16128,2.587e+15,-4.7422e+20,1.2424e+27,8.148e+05,-22019,-1.3257e+06,"stress_x_0",0,16128,2.587e+15,-4.7422e+20,1.2424e+27,8.148e+05,-22019,-1.3257e+06,"stress_x_0",0,16128,2.587e+15,-4.7422e+20,1.2424e+27,8.148e+05,-22019,-1.3257e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.02,16128,9.9538e+15,-3.2567e+21,1.7905e+28,1.5206e+06,-10803,-2.4759e+06,0,16128,9.9538e+15,-3.2567e+21,1.7905e+28,1.5206e+06,-10803,-2.4759e+06,"stress_x_0",0,16128,9.9538e+15,-3.2567e+21,1.7905e+28,1.5206e+06,-10803,-2.4759e+06,"stress_x_0",0,16128,9.9538e+15,-3.2567e+21,1.7905e+28,1.5206e+06,-10803,-2.4759e+06,"stress_x_0",0,16128,9.9538e+15,-3.2567e+21,1.7905e+28,1.5206e+06,-10803,-2.4759e+06,"stress_x_0",0,16128,9.9538e+15,-3.2567e+21,1.7905e+28,1.5206e+06,-10803,-2.4759e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.03,16128,2.2372e+16,-1.1181e+22,9.2456e+28,2.2558e+06,-12483,-3.629e+06,0,16128,2.2372e+16,-1.1181e+22,9.2456e+28,2.2558e+06,-12483,-3.629e+06,"stress_x_0",0,16128,2.2372e+16,-1.1181e+22,9.2456e+28,2.2558e+06,-12483,-3.629e+06,"stress_x_0",0,16128,2.2372e+16,-1.1181e+22,9.2456e+28,2.2558e+06,-12483,-3.629e+06,"stress_x_0",0,16128,2.2372e+16,-1.1181e+22,9.2456e+28,2.2558e+06,-12483,-3.629e+06,"stress_x_0",0,16128,2.2372e+16,-1.1181e+22,9.2456e+28,2.2558e+06,-12483,-3.629e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.04,16128,3.9744e+16,-2.6539e+22,2.8848e+29,2.9984e+06,-14105,-4.8686e+06,0,16128,3.9744e+16,-2.6539e+22,2.8848e+29,2.9984e+06,-14105,-4.8686e+06,"stress_x_0",0,16128,3.9744e+16,-2.6539e+22,2.8848e+29,2.9984e+06,-14105,-4.8686e+06,"stress_x_0",0,16128,3.9744e+16,-2.6539e+22,2.8848e+29,2.9984e+06,-14105,-4.8686e+06,"stress_x_0",0,16128,3.9744e+16,-2.6539e+22,2.8848e+29,2.9984e+06,-14105,-4.8686e+06,"stress_x_0",0,16128,3.9744e+16,-2.6539e+22,2.8848e+29,2.9984e+06,-14105,-4.8686e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.05,16128,6.2075e+16,-5.2577e+22,7.0778e+29,3.7301e+06,-13842,-6.0461e+06,0,16128,6.2075e+16,-5.2577e+22,7.0778e+29,3.7301e+06,-13842,-6.0461e+06,"stress_x_0",0,16128,6.2075e+16,-5.2577e+22,7.0778e+29,3.7301e+06,-13842,-6.0461e+06,"stress_x_0",0,16128,6.2075e+16,-5.2577e+22,7.0778e+29,3.7301e+06,-13842,-6.0461e+06,"stress_x_0",0,16128,6.2075e+16,-5.2577e+22,7.0778e+29,3.7301e+06,-13842,-6.0461e+06,"stress_x_0",0,16128,6.2075e+16,-5.2577e+22,7.0778e+29,3.7301e+06,-13842,-6.0461e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.06,16128,8.9368e+16,-9.1131e+22,1.4675e+30,4.482e+06,-14823,-7.2453e+06,0,16128,8.9368e+16,-9.1131e+22,1.4675e+30,4.482e+06,-14823,-7.2453e+06,"stress_x_0",0,16128,8.9368e+16,-9.1131e+22,1.4675e+30,4.482e+06,-14823,-7.2453e+06,"stress_x_0",0,16128,8.9368e+16,-9.1131e+22,1.4675e+30,4.482e+06,-14823,-7.2453e+06,"stress_x_0",0,16128,8.9368e+16,-9.1131e+22,1.4675e+30,4.482e+06,-14823,-7.2453e+06,"stress_x_0",0,16128,8.9368e+16,-9.1131e+22,1.4675e+30,4.482e+06,-14823,-7.2453e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.07,16128,1.2161e+17,-1.4522e+23,2.7138e+30,5.225e+06,-15057,-8.4661e+06,0,16128,1.2161e+17,-1.4522e+23,2.7138e+30,5.225e+06,-15057,-8.4661e+06,"stress_x_0",0,16128,1.2161e+17,-1.4522e+23,2.7138e+30,5.225e+06,-15057,-8.4661e+06,"stress_x_0",0,16128,1.2161e+17,-1.4522e+23,2.7138e+30,5.225e+06,-15057,-8.4661e+06,"stress_x_0",0,16128,1.2161e+17,-1.4522e+23,2.7138e+30,5.225e+06,-15057,-8.4661e+06,"stress_x_0",0,16128,1.2161e+17,-1.4522e+23,2.7138e+30,5.225e+06,-15057,-8.4661e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.08,16128,1.5881e+17,-2.1741e+23,4.6271e+30,5.966e+06,-15392,-9.6701e+06,0,16128,1.5881e+17,-2.1741e+23,4.6271e+30,5.966e+06,-15392,-9.6701e+06,"stress_x_0",0,16128,1.5881e+17,-2.1741e+23,4.6271e+30,5.966e+06,-15392,-9.6701e+06,"stress_x_0",0,16128,1.5881e+17,-2.1741e+23,4.6271e+30,5.966e+06,-15392,-9.6701e+06,"stress_x_0",0,16128,1.5881e+17,-2.1741e+23,4.6271e+30,5.966e+06,-15392,-9.6701e+06,"stress_x_0",0,16128,1.5881e+17,-2.1741e+23,4.6271e+30,5.966e+06,-15392,-9.6701e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.09,16128,2.0095e+17,-3.106e+23,7.388e+30,6.7242e+06,-14416,-1.0907e+07,0,16128,2.0095e+17,-3.106e+23,7.388e+30,6.7242e+06,-14416,-1.0907e+07,"stress_x_0",0,16128,2.0095e+17,-3.106e+23,7.388e+30,6.7242e+06,-14416,-1.0907e+07,"stress_x_0",0,16128,2.0095e+17,-3.106e+23,7.388e+30,6.7242e+06,-14416,-1.0907e+07,"stress_x_0",0,16128,2.0095e+17,-3.106e+23,7.388e+30,6.7242e+06,-14416,-1.0907e+07,"stress_x_0",0,16128,2.0095e+17,-3.106e+23,7.388e+30,6.7242e+06,-14416,-1.0907e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
