"N","Time","avg(Cardinality)","avg(M2)","avg(M3)","avg(M4)","avg(Maximum)","avg(Mean)","avg(Minimum)","avg(vtkOriginalRowIds)","max(Cardinality)","max(M2)","max(M3)","max(M4)","max(Maximum)","max(Mean)","max(Minimum)","max(Variable)","max(vtkOriginalRowIds)","med(Cardinality)","med(M2)","med(M3)","med(M4)","med(Maximum)","med(Mean)","med(Minimum)","med(Variable)","med(vtkOriginalRowIds)","min(Cardinality)","min(M2)","min(M3)","min(M4)","min(Maximum)","min(Mean)","min(Minimum)","min(Variable)","min(vtkOriginalRowIds)","q1(Cardinality)","q1(M2)","q1(M3)","q1(M4)","q1(Maximum)","q1(Mean)","q1(Minimum)","q1(Variable)","q1(vtkOriginalRowIds)","q3(Cardinality)","q3(M2)","q3(M3)","q3(M4)","q3(Maximum)","q3(Mean)","q3(Minimum)","q3(Variable)","q3(vtkOriginalRowIds)","std(Cardinality)","std(M2)","std(M3)","std(M4)","std(Maximum)","std(Mean)","std(Minimum)","std(vtkOriginalRowIds)","vtkValidPointMask"
1,0,16128,0,0,0,0,0,0,0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.01,16128,3.5862e+15,-2.4274e+20,2.2417e+27,1.0333e+06,-8107.3,-1.3821e+06,0,16128,3.5862e+15,-2.4274e+20,2.2417e+27,1.0333e+06,-8107.3,-1.3821e+06,"stress_x_0",0,16128,3.5862e+15,-2.4274e+20,2.2417e+27,1.0333e+06,-8107.3,-1.3821e+06,"stress_x_0",0,16128,3.5862e+15,-2.4274e+20,2.2417e+27,1.0333e+06,-8107.3,-1.3821e+06,"stress_x_0",0,16128,3.5862e+15,-2.4274e+20,2.2417e+27,1.0333e+06,-8107.3,-1.3821e+06,"stress_x_0",0,16128,3.5862e+15,-2.4274e+20,2.2417e+27,1.0333e+06,-8107.3,-1.3821e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.02,16128,1.4295e+16,-1.6054e+21,3.5635e+28,2.0118e+06,-4422.8,-2.7256e+06,0,16128,1.4295e+16,-1.6054e+21,3.5635e+28,2.0118e+06,-4422.8,-2.7256e+06,"stress_x_0",0,16128,1.4295e+16,-1.6054e+21,3.5635e+28,2.0118e+06,-4422.8,-2.7256e+06,"stress_x_0",0,16128,1.4295e+16,-1.6054e+21,3.5635e+28,2.0118e+06,-4422.8,-2.7256e+06,"stress_x_0",0,16128,1.4295e+16,-1.6054e+21,3.5635e+28,2.0118e+06,-4422.8,-2.7256e+06,"stress_x_0",0,16128,1.4295e+16,-1.6054e+21,3.5635e+28,2.0118e+06,-4422.8,-2.7256e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.03,16128,3.2163e+16,-5.5011e+21,1.8062e+29,3.0096e+06,-5327,-4.0708e+06,0,16128,3.2163e+16,-5.5011e+21,1.8062e+29,3.0096e+06,-5327,-4.0708e+06,"stress_x_0",0,16128,3.2163e+16,-5.5011e+21,1.8062e+29,3.0096e+06,-5327,-4.0708e+06,"stress_x_0",0,16128,3.2163e+16,-5.5011e+21,1.8062e+29,3.0096e+06,-5327,-4.0708e+06,"stress_x_0",0,16128,3.2163e+16,-5.5011e+21,1.8062e+29,3.0096e+06,-5327,-4.0708e+06,"stress_x_0",0,16128,3.2163e+16,-5.5011e+21,1.8062e+29,3.0096e+06,-5327,-4.0708e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.04,16128,5.7174e+16,-1.3276e+22,5.7088e+29,4.0076e+06,-5304.8,-5.4153e+06,0,16128,5.7174e+16,-1.3276e+22,5.7088e+29,4.0076e+06,-5304.8,-5.4153e+06,"stress_x_0",0,16128,5.7174e+16,-1.3276e+22,5.7088e+29,4.0076e+06,-5304.8,-5.4153e+06,"stress_x_0",0,16128,5.7174e+16,-1.3276e+22,5.7088e+29,4.0076e+06,-5304.8,-5.4153e+06,"stress_x_0",0,16128,5.7174e+16,-1.3276e+22,5.7088e+29,4.0076e+06,-5304.8,-5.4153e+06,"stress_x_0",0,16128,5.7174e+16,-1.3276e+22,5.7088e+29,4.0076e+06,-5304.8,-5.4153e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.05,16128,8.9333e+16,-2.6019e+22,1.3943e+30,5.0102e+06,-6346.6,-6.7721e+06,0,16128,8.9333e+16,-2.6019e+22,1.3943e+30,5.0102e+06,-6346.6,-6.7721e+06,"stress_x_0",0,16128,8.9333e+16,-2.6019e+22,1.3943e+30,5.0102e+06,-6346.6,-6.7721e+06,"stress_x_0",0,16128,8.9333e+16,-2.6019e+22,1.3943e+30,5.0102e+06,-6346.6,-6.7721e+06,"stress_x_0",0,16128,8.9333e+16,-2.6019e+22,1.3943e+30,5.0102e+06,-6346.6,-6.7721e+06,"stress_x_0",0,16128,8.9333e+16,-2.6019e+22,1.3943e+30,5.0102e+06,-6346.6,-6.7721e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.06,16128,1.2864e+17,-4.5439e+22,2.8885e+30,6.0168e+06,-5941.2,-8.1401e+06,0,16128,1.2864e+17,-4.5439e+22,2.8885e+30,6.0168e+06,-5941.2,-8.1401e+06,"stress_x_0",0,16128,1.2864e+17,-4.5439e+22,2.8885e+30,6.0168e+06,-5941.2,-8.1401e+06,"stress_x_0",0,16128,1.2864e+17,-4.5439e+22,2.8885e+30,6.0168e+06,-5941.2,-8.1401e+06,"stress_x_0",0,16128,1.2864e+17,-4.5439e+22,2.8885e+30,6.0168e+06,-5941.2,-8.1401e+06,"stress_x_0",0,16128,1.2864e+17,-4.5439e+22,2.8885e+30,6.0168e+06,-5941.2,-8.1401e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.07,16128,1.7508e+17,-7.2437e+22,5.3508e+30,7.0132e+06,-6305.4,-9.4885e+06,0,16128,1.7508e+17,-7.2437e+22,5.3508e+30,7.0132e+06,-6305.4,-9.4885e+06,"stress_x_0",0,16128,1.7508e+17,-7.2437e+22,5.3508e+30,7.0132e+06,-6305.4,-9.4885e+06,"stress_x_0",0,16128,1.7508e+17,-7.2437e+22,5.3508e+30,7.0132e+06,-6305.4,-9.4885e+06,"stress_x_0",0,16128,1.7508e+17,-7.2437e+22,5.3508e+30,7.0132e+06,-6305.4,-9.4885e+06,"stress_x_0",0,16128,1.7508e+17,-7.2437e+22,5.3508e+30,7.0132e+06,-6305.4,-9.4885e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.08,16128,2.2868e+17,-1.0821e+23,9.1256e+30,8.0199e+06,-7311.4,-1.0847e+07,0,16128,2.2868e+17,-1.0821e+23,9.1256e+30,8.0199e+06,-7311.4,-1.0847e+07,"stress_x_0",0,16128,2.2868e+17,-1.0821e+23,9.1256e+30,8.0199e+06,-7311.4,-1.0847e+07,"stress_x_0",0,16128,2.2868e+17,-1.0821e+23,9.1256e+30,8.0199e+06,-7311.4,-1.0847e+07,"stress_x_0",0,16128,2.2868e+17,-1.0821e+23,9.1256e+30,8.0199e+06,-7311.4,-1.0847e+07,"stress_x_0",0,16128,2.2868e+17,-1.0821e+23,9.1256e+30,8.0199e+06,-7311.4,-1.0847e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.09,16128,2.8942e+17,-1.5451e+23,1.462e+31,9.0171e+06,-7597.4,-1.219e+07,0,16128,2.8942e+17,-1.5451e+23,1.462e+31,9.0171e+06,-7597.4,-1.219e+07,"stress_x_0",0,16128,2.8942e+17,-1.5451e+23,1.462e+31,9.0171e+06,-7597.4,-1.219e+07,"stress_x_0",0,16128,2.8942e+17,-1.5451e+23,1.462e+31,9.0171e+06,-7597.4,-1.219e+07,"stress_x_0",0,16128,2.8942e+17,-1.5451e+23,1.462e+31,9.0171e+06,-7597.4,-1.219e+07,"stress_x_0",0,16128,2.8942e+17,-1.5451e+23,1.462e+31,9.0171e+06,-7597.4,-1.219e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
