"N","Time","avg(Cardinality)","avg(M2)","avg(M3)","avg(M4)","avg(Maximum)","avg(Mean)","avg(Minimum)","avg(vtkOriginalRowIds)","max(Cardinality)","max(M2)","max(M3)","max(M4)","max(Maximum)","max(Mean)","max(Minimum)","max(Variable)","max(vtkOriginalRowIds)","med(Cardinality)","med(M2)","med(M3)","med(M4)","med(Maximum)","med(Mean)","med(Minimum)","med(Variable)","med(vtkOriginalRowIds)","min(Cardinality)","min(M2)","min(M3)","min(M4)","min(Maximum)","min(Mean)","min(Minimum)","min(Variable)","min(vtkOriginalRowIds)","q1(Cardinality)","q1(M2)","q1(M3)","q1(M4)","q1(Maximum)","q1(Mean)","q1(Minimum)","q1(Variable)","q1(vtkOriginalRowIds)","q3(Cardinality)","q3(M2)","q3(M3)","q3(M4)","q3(Maximum)","q3(Mean)","q3(Minimum)","q3(Variable)","q3(vtkOriginalRowIds)","std(Cardinality)","std(M2)","std(M3)","std(M4)","std(Maximum)","std(Mean)","std(Minimum)","std(vtkOriginalRowIds)","vtkValidPointMask"
1,0,16128,0,0,0,0,0,0,0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.01,16128,2.1988e+15,-5.0303e+20,9.4905e+26,7.0004e+05,-23225,-1.3047e+06,0,16128,2.1988e+15,-5.0303e+20,9.4905e+26,7.0004e+05,-23225,-1.3047e+06,"stress_x_0",0,16128,2.1988e+15,-5.0303e+20,9.4905e+26,7.0004e+05,-23225,-1.3047e+06,"stress_x_0",0,16128,2.1988e+15,-5.0303e+20,9.4905e+26,7.0004e+05,-23225,-1.3047e+06,"stress_x_0",0,16128,2.1988e+15,-5.0303e+20,9.4905e+26,7.0004e+05,-23225,-1.3047e+06,"stress_x_0",0,16128,2.1988e+15,-5.0303e+20,9.4905e+26,7.0004e+05,-23225,-1.3047e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.02,16128,8.2847e+15,-3.426e+21,1.3109e+28,1.284e+06,-13847,-2.3231e+06,0,16128,8.2847e+15,-3.426e+21,1.3109e+28,1.284e+06,-13847,-2.3231e+06,"stress_x_0",0,16128,8.2847e+15,-3.426e+21,1.3109e+28,1.284e+06,-13847,-2.3231e+06,"stress_x_0",0,16128,8.2847e+15,-3.426e+21,1.3109e+28,1.284e+06,-13847,-2.3231e+06,"stress_x_0",0,16128,8.2847e+15,-3.426e+21,1.3109e+28,1.284e+06,-13847,-2.3231e+06,"stress_x_0",0,16128,8.2847e+15,-3.426e+21,1.3109e+28,1.284e+06,-13847,-2.3231e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.03,16128,1.8607e+16,-1.157e+22,6.5667e+28,1.9243e+06,-17309,-3.4781e+06,0,16128,1.8607e+16,-1.157e+22,6.5667e+28,1.9243e+06,-17309,-3.4781e+06,"stress_x_0",0,16128,1.8607e+16,-1.157e+22,6.5667e+28,1.9243e+06,-17309,-3.4781e+06,"stress_x_0",0,16128,1.8607e+16,-1.157e+22,6.5667e+28,1.9243e+06,-17309,-3.4781e+06,"stress_x_0",0,16128,1.8607e+16,-1.157e+22,6.5667e+28,1.9243e+06,-17309,-3.4781e+06,"stress_x_0",0,16128,1.8607e+16,-1.157e+22,6.5667e+28,1.9243e+06,-17309,-3.4781e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.04,16128,3.3065e+16,-2.797e+22,2.117e+29,2.572e+06,-19289,-4.561e+06,0,16128,3.3065e+16,-2.797e+22,2.117e+29,2.572e+06,-19289,-4.561e+06,"stress_x_0",0,16128,3.3065e+16,-2.797e+22,2.117e+29,2.572e+06,-19289,-4.561e+06,"stress_x_0",0,16128,3.3065e+16,-2.797e+22,2.117e+29,2.572e+06,-19289,-4.561e+06,"stress_x_0",0,16128,3.3065e+16,-2.797e+22,2.117e+29,2.572e+06,-19289,-4.561e+06,"stress_x_0",0,16128,3.3065e+16,-2.797e+22,2.117e+29,2.572e+06,-19289,-4.561e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.05,16128,5.1466e+16,-5.6711e+22,5.0902e+29,3.1641e+06,-2612.7,-5.6913e+06,0,16128,5.1466e+16,-5.6711e+22,5.0902e+29,3.1641e+06,-2612.7,-5.6913e+06,"stress_x_0",0,16128,5.1466e+16,-5.6711e+22,5.0902e+29,3.1641e+06,-2612.7,-5.6913e+06,"stress_x_0",0,16128,5.1466e+16,-5.6711e+22,5.0902e+29,3.1641e+06,-2612.7,-5.6913e+06,"stress_x_0",0,16128,5.1466e+16,-5.6711e+22,5.0902e+29,3.1641e+06,-2612.7,-5.6913e+06,"stress_x_0",0,16128,5.1466e+16,-5.6711e+22,5.0902e+29,3.1641e+06,-2612.7,-5.6913e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.06,16128,7.411e+16,-9.8027e+22,1.0559e+30,3.7968e+06,-2993.6,-6.8301e+06,0,16128,7.411e+16,-9.8027e+22,1.0559e+30,3.7968e+06,-2993.6,-6.8301e+06,"stress_x_0",0,16128,7.411e+16,-9.8027e+22,1.0559e+30,3.7968e+06,-2993.6,-6.8301e+06,"stress_x_0",0,16128,7.411e+16,-9.8027e+22,1.0559e+30,3.7968e+06,-2993.6,-6.8301e+06,"stress_x_0",0,16128,7.411e+16,-9.8027e+22,1.0559e+30,3.7968e+06,-2993.6,-6.8301e+06,"stress_x_0",0,16128,7.411e+16,-9.8027e+22,1.0559e+30,3.7968e+06,-2993.6,-6.8301e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.07,16128,1.0087e+17,-1.5561e+23,1.9536e+30,4.4357e+06,-3434.7,-7.9857e+06,0,16128,1.0087e+17,-1.5561e+23,1.9536e+30,4.4357e+06,-3434.7,-7.9857e+06,"stress_x_0",0,16128,1.0087e+17,-1.5561e+23,1.9536e+30,4.4357e+06,-3434.7,-7.9857e+06,"stress_x_0",0,16128,1.0087e+17,-1.5561e+23,1.9536e+30,4.4357e+06,-3434.7,-7.9857e+06,"stress_x_0",0,16128,1.0087e+17,-1.5561e+23,1.9536e+30,4.4357e+06,-3434.7,-7.9857e+06,"stress_x_0",0,16128,1.0087e+17,-1.5561e+23,1.9536e+30,4.4357e+06,-3434.7,-7.9857e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.08,16128,1.3175e+17,-2.3255e+23,3.3392e+30,5.0646e+06,-3701.2,-9.1036e+06,0,16128,1.3175e+17,-2.3255e+23,3.3392e+30,5.0646e+06,-3701.2,-9.1036e+06,"stress_x_0",0,16128,1.3175e+17,-2.3255e+23,3.3392e+30,5.0646e+06,-3701.2,-9.1036e+06,"stress_x_0",0,16128,1.3175e+17,-2.3255e+23,3.3392e+30,5.0646e+06,-3701.2,-9.1036e+06,"stress_x_0",0,16128,1.3175e+17,-2.3255e+23,3.3392e+30,5.0646e+06,-3701.2,-9.1036e+06,"stress_x_0",0,16128,1.3175e+17,-2.3255e+23,3.3392e+30,5.0646e+06,-3701.2,-9.1036e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.09,16128,1.6675e+17,-3.3064e+23,5.346e+30,5.6991e+06,-5099,-1.0254e+07,0,16128,1.6675e+17,-3.3064e+23,5.346e+30,5.6991e+06,-5099,-1.0254e+07,"stress_x_0",0,16128,1.6675e+17,-3.3064e+23,5.346e+30,5.6991e+06,-5099,-1.0254e+07,"stress_x_0",0,16128,1.6675e+17,-3.3064e+23,5.346e+30,5.6991e+06,-5099,-1.0254e+07,"stress_x_0",0,16128,1.6675e+17,-3.3064e+23,5.346e+30,5.6991e+06,-5099,-1.0254e+07,"stress_x_0",0,16128,1.6675e+17,-3.3064e+23,5.346e+30,5.6991e+06,-5099,-1.0254e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
