"N","Time","avg(Cardinality)","avg(M2)","avg(M3)","avg(M4)","avg(Maximum)","avg(Mean)","avg(Minimum)","avg(vtkOriginalRowIds)","max(Cardinality)","max(M2)","max(M3)","max(M4)","max(Maximum)","max(Mean)","max(Minimum)","max(Variable)","max(vtkOriginalRowIds)","med(Cardinality)","med(M2)","med(M3)","med(M4)","med(Maximum)","med(Mean)","med(Minimum)","med(Variable)","med(vtkOriginalRowIds)","min(Cardinality)","min(M2)","min(M3)","min(M4)","min(Maximum)","min(Mean)","min(Minimum)","min(Variable)","min(vtkOriginalRowIds)","q1(Cardinality)","q1(M2)","q1(M3)","q1(M4)","q1(Maximum)","q1(Mean)","q1(Minimum)","q1(Variable)","q1(vtkOriginalRowIds)","q3(Cardinality)","q3(M2)","q3(M3)","q3(M4)","q3(Maximum)","q3(Mean)","q3(Minimum)","q3(Variable)","q3(vtkOriginalRowIds)","std(Cardinality)","std(M2)","std(M3)","std(M4)","std(Maximum)","std(Mean)","std(Minimum)","std(vtkOriginalRowIds)","vtkValidPointMask"
1,0,16128,0,0,0,0,0,0,0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.01,16128,2.4863e+15,-4.8872e+20,1.1738e+27,7.8306e+05,-20402,-1.3282e+06,0,16128,2.4863e+15,-4.8872e+20,1.1738e+27,7.8306e+05,-20402,-1.3282e+06,"stress_x_0",0,16128,2.4863e+15,-4.8872e+20,1.1738e+27,7.8306e+05,-20402,-1.3282e+06,"stress_x_0",0,16128,2.4863e+15,-4.8872e+20,1.1738e+27,7.8306e+05,-20402,-1.3282e+06,"stress_x_0",0,16128,2.4863e+15,-4.8872e+20,1.1738e+27,7.8306e+05,-20402,-1.3282e+06,"stress_x_0",0,16128,2.4863e+15,-4.8872e+20,1.1738e+27,7.8306e+05,-20402,-1.3282e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.02,16128,9.5775e+15,-3.3787e+21,1.7173e+28,1.4659e+06,-11535,-2.3904e+06,0,16128,9.5775e+15,-3.3787e+21,1.7173e+28,1.4659e+06,-11535,-2.3904e+06,"stress_x_0",0,16128,9.5775e+15,-3.3787e+21,1.7173e+28,1.4659e+06,-11535,-2.3904e+06,"stress_x_0",0,16128,9.5775e+15,-3.3787e+21,1.7173e+28,1.4659e+06,-11535,-2.3904e+06,"stress_x_0",0,16128,9.5775e+15,-3.3787e+21,1.7173e+28,1.4659e+06,-11535,-2.3904e+06,"stress_x_0",0,16128,9.5775e+15,-3.3787e+21,1.7173e+28,1.4659e+06,-11535,-2.3904e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.03,16128,2.1497e+16,-1.1485e+22,8.5342e+28,2.1648e+06,-12073,-3.599e+06,0,16128,2.1497e+16,-1.1485e+22,8.5342e+28,2.1648e+06,-12073,-3.599e+06,"stress_x_0",0,16128,2.1497e+16,-1.1485e+22,8.5342e+28,2.1648e+06,-12073,-3.599e+06,"stress_x_0",0,16128,2.1497e+16,-1.1485e+22,8.5342e+28,2.1648e+06,-12073,-3.599e+06,"stress_x_0",0,16128,2.1497e+16,-1.1485e+22,8.5342e+28,2.1648e+06,-12073,-3.599e+06,"stress_x_0",0,16128,2.1497e+16,-1.1485e+22,8.5342e+28,2.1648e+06,-12073,-3.599e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.04,16128,3.8195e+16,-2.7545e+22,2.7067e+29,2.8863e+06,-12883,-4.7908e+06,0,16128,3.8195e+16,-2.7545e+22,2.7067e+29,2.8863e+06,-12883,-4.7908e+06,"stress_x_0",0,16128,3.8195e+16,-2.7545e+22,2.7067e+29,2.8863e+06,-12883,-4.7908e+06,"stress_x_0",0,16128,3.8195e+16,-2.7545e+22,2.7067e+29,2.8863e+06,-12883,-4.7908e+06,"stress_x_0",0,16128,3.8195e+16,-2.7545e+22,2.7067e+29,2.8863e+06,-12883,-4.7908e+06,"stress_x_0",0,16128,3.8195e+16,-2.7545e+22,2.7067e+29,2.8863e+06,-12883,-4.7908e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.05,16128,5.966e+16,-5.3762e+22,6.5553e+29,3.6057e+06,-14874,-5.997e+06,0,16128,5.966e+16,-5.3762e+22,6.5553e+29,3.6057e+06,-14874,-5.997e+06,"stress_x_0",0,16128,5.966e+16,-5.3762e+22,6.5553e+29,3.6057e+06,-14874,-5.997e+06,"stress_x_0",0,16128,5.966e+16,-5.3762e+22,6.5553e+29,3.6057e+06,-14874,-5.997e+06,"stress_x_0",0,16128,5.966e+16,-5.3762e+22,6.5553e+29,3.6057e+06,-14874,-5.997e+06,"stress_x_0",0,16128,5.966e+16,-5.3762e+22,6.5553e+29,3.6057e+06,-14874,-5.997e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.06,16128,8.5908e+16,-9.2868e+22,1.36e+30,4.3277e+06,-17698,-7.1988e+06,0,16128,8.5908e+16,-9.2868e+22,1.36e+30,4.3277e+06,-17698,-7.1988e+06,"stress_x_0",0,16128,8.5908e+16,-9.2868e+22,1.36e+30,4.3277e+06,-17698,-7.1988e+06,"stress_x_0",0,16128,8.5908e+16,-9.2868e+22,1.36e+30,4.3277e+06,-17698,-7.1988e+06,"stress_x_0",0,16128,8.5908e+16,-9.2868e+22,1.36e+30,4.3277e+06,-17698,-7.1988e+06,"stress_x_0",0,16128,8.5908e+16,-9.2868e+22,1.36e+30,4.3277e+06,-17698,-7.1988e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.07,16128,1.1687e+17,-1.4916e+23,2.517e+30,5.0417e+06,-14938,-8.385e+06,0,16128,1.1687e+17,-1.4916e+23,2.517e+30,5.0417e+06,-14938,-8.385e+06,"stress_x_0",0,16128,1.1687e+17,-1.4916e+23,2.517e+30,5.0417e+06,-14938,-8.385e+06,"stress_x_0",0,16128,1.1687e+17,-1.4916e+23,2.517e+30,5.0417e+06,-14938,-8.385e+06,"stress_x_0",0,16128,1.1687e+17,-1.4916e+23,2.517e+30,5.0417e+06,-14938,-8.385e+06,"stress_x_0",0,16128,1.1687e+17,-1.4916e+23,2.517e+30,5.0417e+06,-14938,-8.385e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.08,16128,1.526e+17,-2.2386e+23,4.302e+30,5.7508e+06,-14034,-9.5564e+06,0,16128,1.526e+17,-2.2386e+23,4.302e+30,5.7508e+06,-14034,-9.5564e+06,"stress_x_0",0,16128,1.526e+17,-2.2386e+23,4.302e+30,5.7508e+06,-14034,-9.5564e+06,"stress_x_0",0,16128,1.526e+17,-2.2386e+23,4.302e+30,5.7508e+06,-14034,-9.5564e+06,"stress_x_0",0,16128,1.526e+17,-2.2386e+23,4.302e+30,5.7508e+06,-14034,-9.5564e+06,"stress_x_0",0,16128,1.526e+17,-2.2386e+23,4.302e+30,5.7508e+06,-14034,-9.5564e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.09,16128,1.9308e+17,-3.2432e+23,6.89e+30,6.4643e+06,-4535.6,-1.0738e+07,0,16128,1.9308e+17,-3.2432e+23,6.89e+30,6.4643e+06,-4535.6,-1.0738e+07,"stress_x_0",0,16128,1.9308e+17,-3.2432e+23,6.89e+30,6.4643e+06,-4535.6,-1.0738e+07,"stress_x_0",0,16128,1.9308e+17,-3.2432e+23,6.89e+30,6.4643e+06,-4535.6,-1.0738e+07,"stress_x_0",0,16128,1.9308e+17,-3.2432e+23,6.89e+30,6.4643e+06,-4535.6,-1.0738e+07,"stress_x_0",0,16128,1.9308e+17,-3.2432e+23,6.89e+30,6.4643e+06,-4535.6,-1.0738e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.1,16128,2.3837e+17,-4.4498e+23,1.0504e+31,7.1829e+06,-4983.2,-1.1931e+07,0,16128,2.3837e+17,-4.4498e+23,1.0504e+31,7.1829e+06,-4983.2,-1.1931e+07,"stress_x_0",0,16128,2.3837e+17,-4.4498e+23,1.0504e+31,7.1829e+06,-4983.2,-1.1931e+07,"stress_x_0",0,16128,2.3837e+17,-4.4498e+23,1.0504e+31,7.1829e+06,-4983.2,-1.1931e+07,"stress_x_0",0,16128,2.3837e+17,-4.4498e+23,1.0504e+31,7.1829e+06,-4983.2,-1.1931e+07,"stress_x_0",0,16128,2.3837e+17,-4.4498e+23,1.0504e+31,7.1829e+06,-4983.2,-1.1931e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.11,16128,2.8842e+17,-5.9221e+23,1.5379e+31,7.9009e+06,-5528.5,-1.3125e+07,0,16128,2.8842e+17,-5.9221e+23,1.5379e+31,7.9009e+06,-5528.5,-1.3125e+07,"stress_x_0",0,16128,2.8842e+17,-5.9221e+23,1.5379e+31,7.9009e+06,-5528.5,-1.3125e+07,"stress_x_0",0,16128,2.8842e+17,-5.9221e+23,1.5379e+31,7.9009e+06,-5528.5,-1.3125e+07,"stress_x_0",0,16128,2.8842e+17,-5.9221e+23,1.5379e+31,7.9009e+06,-5528.5,-1.3125e+07,"stress_x_0",0,16128,2.8842e+17,-5.9221e+23,1.5379e+31,7.9009e+06,-5528.5,-1.3125e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.12,16128,3.4325e+17,-7.6857e+23,2.1763e+31,8.6237e+06,-6033.9,-1.4328e+07,0,16128,3.4325e+17,-7.6857e+23,2.1763e+31,8.6237e+06,-6033.9,-1.4328e+07,"stress_x_0",0,16128,3.4325e+17,-7.6857e+23,2.1763e+31,8.6237e+06,-6033.9,-1.4328e+07,"stress_x_0",0,16128,3.4325e+17,-7.6857e+23,2.1763e+31,8.6237e+06,-6033.9,-1.4328e+07,"stress_x_0",0,16128,3.4325e+17,-7.6857e+23,2.1763e+31,8.6237e+06,-6033.9,-1.4328e+07,"stress_x_0",0,16128,3.4325e+17,-7.6857e+23,2.1763e+31,8.6237e+06,-6033.9,-1.4328e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.13,16128,4.0283e+17,-9.7681e+23,2.999e+31,9.3367e+06,-7104,-1.5508e+07,0,16128,4.0283e+17,-9.7681e+23,2.999e+31,9.3367e+06,-7104,-1.5508e+07,"stress_x_0",0,16128,4.0283e+17,-9.7681e+23,2.999e+31,9.3367e+06,-7104,-1.5508e+07,"stress_x_0",0,16128,4.0283e+17,-9.7681e+23,2.999e+31,9.3367e+06,-7104,-1.5508e+07,"stress_x_0",0,16128,4.0283e+17,-9.7681e+23,2.999e+31,9.3367e+06,-7104,-1.5508e+07,"stress_x_0",0,16128,4.0283e+17,-9.7681e+23,2.999e+31,9.3367e+06,-7104,-1.5508e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
