"N","Time","avg(Cardinality)","avg(M2)","avg(M3)","avg(M4)","avg(Maximum)","avg(Mean)","avg(Minimum)","avg(vtkOriginalRowIds)","max(Cardinality)","max(M2)","max(M3)","max(M4)","max(Maximum)","max(Mean)","max(Minimum)","max(Variable)","max(vtkOriginalRowIds)","med(Cardinality)","med(M2)","med(M3)","med(M4)","med(Maximum)","med(Mean)","med(Minimum)","med(Variable)","med(vtkOriginalRowIds)","min(Cardinality)","min(M2)","min(M3)","min(M4)","min(Maximum)","min(Mean)","min(Minimum)","min(Variable)","min(vtkOriginalRowIds)","q1(Cardinality)","q1(M2)","q1(M3)","q1(M4)","q1(Maximum)","q1(Mean)","q1(Minimum)","q1(Variable)","q1(vtkOriginalRowIds)","q3(Cardinality)","q3(M2)","q3(M3)","q3(M4)","q3(Maximum)","q3(Mean)","q3(Minimum)","q3(Variable)","q3(vtkOriginalRowIds)","std(Cardinality)","std(M2)","std(M3)","std(M4)","std(Maximum)","std(Mean)","std(Minimum)","std(vtkOriginalRowIds)","vtkValidPointMask"
1,0,16128,0,0,0,0,0,0,0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.01,16128,3.5836e+15,-2.4389e+20,2.2385e+27,1.0328e+06,-8026,-1.3833e+06,0,16128,3.5836e+15,-2.4389e+20,2.2385e+27,1.0328e+06,-8026,-1.3833e+06,"stress_x_0",0,16128,3.5836e+15,-2.4389e+20,2.2385e+27,1.0328e+06,-8026,-1.3833e+06,"stress_x_0",0,16128,3.5836e+15,-2.4389e+20,2.2385e+27,1.0328e+06,-8026,-1.3833e+06,"stress_x_0",0,16128,3.5836e+15,-2.4389e+20,2.2385e+27,1.0328e+06,-8026,-1.3833e+06,"stress_x_0",0,16128,3.5836e+15,-2.4389e+20,2.2385e+27,1.0328e+06,-8026,-1.3833e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.02,16128,1.4285e+16,-1.6205e+21,3.5657e+28,2.0063e+06,-4284.8,-2.7139e+06,0,16128,1.4285e+16,-1.6205e+21,3.5657e+28,2.0063e+06,-4284.8,-2.7139e+06,"stress_x_0",0,16128,1.4285e+16,-1.6205e+21,3.5657e+28,2.0063e+06,-4284.8,-2.7139e+06,"stress_x_0",0,16128,1.4285e+16,-1.6205e+21,3.5657e+28,2.0063e+06,-4284.8,-2.7139e+06,"stress_x_0",0,16128,1.4285e+16,-1.6205e+21,3.5657e+28,2.0063e+06,-4284.8,-2.7139e+06,"stress_x_0",0,16128,1.4285e+16,-1.6205e+21,3.5657e+28,2.0063e+06,-4284.8,-2.7139e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.03,16128,3.2139e+16,-5.5581e+21,1.8021e+29,3.0101e+06,-4816,-4.0739e+06,0,16128,3.2139e+16,-5.5581e+21,1.8021e+29,3.0101e+06,-4816,-4.0739e+06,"stress_x_0",0,16128,3.2139e+16,-5.5581e+21,1.8021e+29,3.0101e+06,-4816,-4.0739e+06,"stress_x_0",0,16128,3.2139e+16,-5.5581e+21,1.8021e+29,3.0101e+06,-4816,-4.0739e+06,"stress_x_0",0,16128,3.2139e+16,-5.5581e+21,1.8021e+29,3.0101e+06,-4816,-4.0739e+06,"stress_x_0",0,16128,3.2139e+16,-5.5581e+21,1.8021e+29,3.0101e+06,-4816,-4.0739e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.04,16128,5.7133e+16,-1.3348e+22,5.6966e+29,4.0064e+06,-5196.4,-5.4158e+06,0,16128,5.7133e+16,-1.3348e+22,5.6966e+29,4.0064e+06,-5196.4,-5.4158e+06,"stress_x_0",0,16128,5.7133e+16,-1.3348e+22,5.6966e+29,4.0064e+06,-5196.4,-5.4158e+06,"stress_x_0",0,16128,5.7133e+16,-1.3348e+22,5.6966e+29,4.0064e+06,-5196.4,-5.4158e+06,"stress_x_0",0,16128,5.7133e+16,-1.3348e+22,5.6966e+29,4.0064e+06,-5196.4,-5.4158e+06,"stress_x_0",0,16128,5.7133e+16,-1.3348e+22,5.6966e+29,4.0064e+06,-5196.4,-5.4158e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.05,16128,8.9268e+16,-2.6144e+22,1.3899e+30,5.0156e+06,-6212.7,-6.7891e+06,0,16128,8.9268e+16,-2.6144e+22,1.3899e+30,5.0156e+06,-6212.7,-6.7891e+06,"stress_x_0",0,16128,8.9268e+16,-2.6144e+22,1.3899e+30,5.0156e+06,-6212.7,-6.7891e+06,"stress_x_0",0,16128,8.9268e+16,-2.6144e+22,1.3899e+30,5.0156e+06,-6212.7,-6.7891e+06,"stress_x_0",0,16128,8.9268e+16,-2.6144e+22,1.3899e+30,5.0156e+06,-6212.7,-6.7891e+06,"stress_x_0",0,16128,8.9268e+16,-2.6144e+22,1.3899e+30,5.0156e+06,-6212.7,-6.7891e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.06,16128,1.2854e+17,-4.5575e+22,2.8858e+30,6.0049e+06,-6266.8,-8.1144e+06,0,16128,1.2854e+17,-4.5575e+22,2.8858e+30,6.0049e+06,-6266.8,-8.1144e+06,"stress_x_0",0,16128,1.2854e+17,-4.5575e+22,2.8858e+30,6.0049e+06,-6266.8,-8.1144e+06,"stress_x_0",0,16128,1.2854e+17,-4.5575e+22,2.8858e+30,6.0049e+06,-6266.8,-8.1144e+06,"stress_x_0",0,16128,1.2854e+17,-4.5575e+22,2.8858e+30,6.0049e+06,-6266.8,-8.1144e+06,"stress_x_0",0,16128,1.2854e+17,-4.5575e+22,2.8858e+30,6.0049e+06,-6266.8,-8.1144e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.07,16128,1.7496e+17,-7.2309e+22,5.3387e+30,7.0199e+06,-7401.5,-9.5025e+06,0,16128,1.7496e+17,-7.2309e+22,5.3387e+30,7.0199e+06,-7401.5,-9.5025e+06,"stress_x_0",0,16128,1.7496e+17,-7.2309e+22,5.3387e+30,7.0199e+06,-7401.5,-9.5025e+06,"stress_x_0",0,16128,1.7496e+17,-7.2309e+22,5.3387e+30,7.0199e+06,-7401.5,-9.5025e+06,"stress_x_0",0,16128,1.7496e+17,-7.2309e+22,5.3387e+30,7.0199e+06,-7401.5,-9.5025e+06,"stress_x_0",0,16128,1.7496e+17,-7.2309e+22,5.3387e+30,7.0199e+06,-7401.5,-9.5025e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.08,16128,2.2851e+17,-1.0854e+23,9.108e+30,8.0189e+06,-7363.6,-1.085e+07,0,16128,2.2851e+17,-1.0854e+23,9.108e+30,8.0189e+06,-7363.6,-1.085e+07,"stress_x_0",0,16128,2.2851e+17,-1.0854e+23,9.108e+30,8.0189e+06,-7363.6,-1.085e+07,"stress_x_0",0,16128,2.2851e+17,-1.0854e+23,9.108e+30,8.0189e+06,-7363.6,-1.085e+07,"stress_x_0",0,16128,2.2851e+17,-1.0854e+23,9.108e+30,8.0189e+06,-7363.6,-1.085e+07,"stress_x_0",0,16128,2.2851e+17,-1.0854e+23,9.108e+30,8.0189e+06,-7363.6,-1.085e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.09,16128,2.8921e+17,-1.5498e+23,1.4611e+31,9.0072e+06,-7900.7,-1.2178e+07,0,16128,2.8921e+17,-1.5498e+23,1.4611e+31,9.0072e+06,-7900.7,-1.2178e+07,"stress_x_0",0,16128,2.8921e+17,-1.5498e+23,1.4611e+31,9.0072e+06,-7900.7,-1.2178e+07,"stress_x_0",0,16128,2.8921e+17,-1.5498e+23,1.4611e+31,9.0072e+06,-7900.7,-1.2178e+07,"stress_x_0",0,16128,2.8921e+17,-1.5498e+23,1.4611e+31,9.0072e+06,-7900.7,-1.2178e+07,"stress_x_0",0,16128,2.8921e+17,-1.5498e+23,1.4611e+31,9.0072e+06,-7900.7,-1.2178e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
