"N","Time","avg(Cardinality)","avg(M2)","avg(M3)","avg(M4)","avg(Maximum)","avg(Mean)","avg(Minimum)","avg(vtkOriginalRowIds)","max(Cardinality)","max(M2)","max(M3)","max(M4)","max(Maximum)","max(Mean)","max(Minimum)","max(Variable)","max(vtkOriginalRowIds)","med(Cardinality)","med(M2)","med(M3)","med(M4)","med(Maximum)","med(Mean)","med(Minimum)","med(Variable)","med(vtkOriginalRowIds)","min(Cardinality)","min(M2)","min(M3)","min(M4)","min(Maximum)","min(Mean)","min(Minimum)","min(Variable)","min(vtkOriginalRowIds)","q1(Cardinality)","q1(M2)","q1(M3)","q1(M4)","q1(Maximum)","q1(Mean)","q1(Minimum)","q1(Variable)","q1(vtkOriginalRowIds)","q3(Cardinality)","q3(M2)","q3(M3)","q3(M4)","q3(Maximum)","q3(Mean)","q3(Minimum)","q3(Variable)","q3(vtkOriginalRowIds)","std(Cardinality)","std(M2)","std(M3)","std(M4)","std(Maximum)","std(Mean)","std(Minimum)","std(vtkOriginalRowIds)","vtkValidPointMask"
1,0,16128,0,0,0,0,0,0,0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.01,16128,3.0947e+15,-3.8368e+20,1.6918e+27,9.2568e+05,-14798,-1.3675e+06,0,16128,3.0947e+15,-3.8368e+20,1.6918e+27,9.2568e+05,-14798,-1.3675e+06,"stress_x_0",0,16128,3.0947e+15,-3.8368e+20,1.6918e+27,9.2568e+05,-14798,-1.3675e+06,"stress_x_0",0,16128,3.0947e+15,-3.8368e+20,1.6918e+27,9.2568e+05,-14798,-1.3675e+06,"stress_x_0",0,16128,3.0947e+15,-3.8368e+20,1.6918e+27,9.2568e+05,-14798,-1.3675e+06,"stress_x_0",0,16128,3.0947e+15,-3.8368e+20,1.6918e+27,9.2568e+05,-14798,-1.3675e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.02,16128,1.2191e+16,-2.6353e+21,2.6141e+28,1.784e+06,-7934.6,-2.6184e+06,0,16128,1.2191e+16,-2.6353e+21,2.6141e+28,1.784e+06,-7934.6,-2.6184e+06,"stress_x_0",0,16128,1.2191e+16,-2.6353e+21,2.6141e+28,1.784e+06,-7934.6,-2.6184e+06,"stress_x_0",0,16128,1.2191e+16,-2.6353e+21,2.6141e+28,1.784e+06,-7934.6,-2.6184e+06,"stress_x_0",0,16128,1.2191e+16,-2.6353e+21,2.6141e+28,1.784e+06,-7934.6,-2.6184e+06,"stress_x_0",0,16128,1.2191e+16,-2.6353e+21,2.6141e+28,1.784e+06,-7934.6,-2.6184e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.03,16128,2.7413e+16,-9.0913e+21,1.3267e+29,2.6545e+06,-8111.6,-3.8867e+06,0,16128,2.7413e+16,-9.0913e+21,1.3267e+29,2.6545e+06,-8111.6,-3.8867e+06,"stress_x_0",0,16128,2.7413e+16,-9.0913e+21,1.3267e+29,2.6545e+06,-8111.6,-3.8867e+06,"stress_x_0",0,16128,2.7413e+16,-9.0913e+21,1.3267e+29,2.6545e+06,-8111.6,-3.8867e+06,"stress_x_0",0,16128,2.7413e+16,-9.0913e+21,1.3267e+29,2.6545e+06,-8111.6,-3.8867e+06,"stress_x_0",0,16128,2.7413e+16,-9.0913e+21,1.3267e+29,2.6545e+06,-8111.6,-3.8867e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.04,16128,4.8723e+16,-2.1806e+22,4.1905e+29,3.5326e+06,-8314.5,-5.1765e+06,0,16128,4.8723e+16,-2.1806e+22,4.1905e+29,3.5326e+06,-8314.5,-5.1765e+06,"stress_x_0",0,16128,4.8723e+16,-2.1806e+22,4.1905e+29,3.5326e+06,-8314.5,-5.1765e+06,"stress_x_0",0,16128,4.8723e+16,-2.1806e+22,4.1905e+29,3.5326e+06,-8314.5,-5.1765e+06,"stress_x_0",0,16128,4.8723e+16,-2.1806e+22,4.1905e+29,3.5326e+06,-8314.5,-5.1765e+06,"stress_x_0",0,16128,4.8723e+16,-2.1806e+22,4.1905e+29,3.5326e+06,-8314.5,-5.1765e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.05,16128,7.6125e+16,-4.2793e+22,1.0256e+30,4.4113e+06,-9757.8,-6.4531e+06,0,16128,7.6125e+16,-4.2793e+22,1.0256e+30,4.4113e+06,-9757.8,-6.4531e+06,"stress_x_0",0,16128,7.6125e+16,-4.2793e+22,1.0256e+30,4.4113e+06,-9757.8,-6.4531e+06,"stress_x_0",0,16128,7.6125e+16,-4.2793e+22,1.0256e+30,4.4113e+06,-9757.8,-6.4531e+06,"stress_x_0",0,16128,7.6125e+16,-4.2793e+22,1.0256e+30,4.4113e+06,-9757.8,-6.4531e+06,"stress_x_0",0,16128,7.6125e+16,-4.2793e+22,1.0256e+30,4.4113e+06,-9757.8,-6.4531e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.06,16128,1.0961e+17,-7.4483e+22,2.1241e+30,5.2929e+06,-9461.4,-7.7408e+06,0,16128,1.0961e+17,-7.4483e+22,2.1241e+30,5.2929e+06,-9461.4,-7.7408e+06,"stress_x_0",0,16128,1.0961e+17,-7.4483e+22,2.1241e+30,5.2929e+06,-9461.4,-7.7408e+06,"stress_x_0",0,16128,1.0961e+17,-7.4483e+22,2.1241e+30,5.2929e+06,-9461.4,-7.7408e+06,"stress_x_0",0,16128,1.0961e+17,-7.4483e+22,2.1241e+30,5.2929e+06,-9461.4,-7.7408e+06,"stress_x_0",0,16128,1.0961e+17,-7.4483e+22,2.1241e+30,5.2929e+06,-9461.4,-7.7408e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.07,16128,1.4918e+17,-1.1892e+23,3.9344e+30,6.1732e+06,-9342.7,-9.0302e+06,0,16128,1.4918e+17,-1.1892e+23,3.9344e+30,6.1732e+06,-9342.7,-9.0302e+06,"stress_x_0",0,16128,1.4918e+17,-1.1892e+23,3.9344e+30,6.1732e+06,-9342.7,-9.0302e+06,"stress_x_0",0,16128,1.4918e+17,-1.1892e+23,3.9344e+30,6.1732e+06,-9342.7,-9.0302e+06,"stress_x_0",0,16128,1.4918e+17,-1.1892e+23,3.9344e+30,6.1732e+06,-9342.7,-9.0302e+06,"stress_x_0",0,16128,1.4918e+17,-1.1892e+23,3.9344e+30,6.1732e+06,-9342.7,-9.0302e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.08,16128,1.9483e+17,-1.7822e+23,6.7082e+30,7.0536e+06,-9295.3,-1.0311e+07,0,16128,1.9483e+17,-1.7822e+23,6.7082e+30,7.0536e+06,-9295.3,-1.0311e+07,"stress_x_0",0,16128,1.9483e+17,-1.7822e+23,6.7082e+30,7.0536e+06,-9295.3,-1.0311e+07,"stress_x_0",0,16128,1.9483e+17,-1.7822e+23,6.7082e+30,7.0536e+06,-9295.3,-1.0311e+07,"stress_x_0",0,16128,1.9483e+17,-1.7822e+23,6.7082e+30,7.0536e+06,-9295.3,-1.0311e+07,"stress_x_0",0,16128,1.9483e+17,-1.7822e+23,6.7082e+30,7.0536e+06,-9295.3,-1.0311e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.09,16128,2.4657e+17,-2.5449e+23,1.0739e+31,7.9351e+06,-9167.2,-1.1609e+07,0,16128,2.4657e+17,-2.5449e+23,1.0739e+31,7.9351e+06,-9167.2,-1.1609e+07,"stress_x_0",0,16128,2.4657e+17,-2.5449e+23,1.0739e+31,7.9351e+06,-9167.2,-1.1609e+07,"stress_x_0",0,16128,2.4657e+17,-2.5449e+23,1.0739e+31,7.9351e+06,-9167.2,-1.1609e+07,"stress_x_0",0,16128,2.4657e+17,-2.5449e+23,1.0739e+31,7.9351e+06,-9167.2,-1.1609e+07,"stress_x_0",0,16128,2.4657e+17,-2.5449e+23,1.0739e+31,7.9351e+06,-9167.2,-1.1609e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
