"N","Time","avg(Cardinality)","avg(M2)","avg(M3)","avg(M4)","avg(Maximum)","avg(Mean)","avg(Minimum)","avg(vtkOriginalRowIds)","max(Cardinality)","max(M2)","max(M3)","max(M4)","max(Maximum)","max(Mean)","max(Minimum)","max(Variable)","max(vtkOriginalRowIds)","med(Cardinality)","med(M2)","med(M3)","med(M4)","med(Maximum)","med(Mean)","med(Minimum)","med(Variable)","med(vtkOriginalRowIds)","min(Cardinality)","min(M2)","min(M3)","min(M4)","min(Maximum)","min(Mean)","min(Minimum)","min(Variable)","min(vtkOriginalRowIds)","q1(Cardinality)","q1(M2)","q1(M3)","q1(M4)","q1(Maximum)","q1(Mean)","q1(Minimum)","q1(Variable)","q1(vtkOriginalRowIds)","q3(Cardinality)","q3(M2)","q3(M3)","q3(M4)","q3(Maximum)","q3(Mean)","q3(Minimum)","q3(Variable)","q3(vtkOriginalRowIds)","std(Cardinality)","std(M2)","std(M3)","std(M4)","std(Maximum)","std(Mean)","std(Minimum)","std(vtkOriginalRowIds)","vtkValidPointMask"
1,0,16128,0,0,0,0,0,0,0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.01,16128,7.7263e+14,-2.5161e+20,1.7448e+26,2.4048e+05,-4512.8,-8.4087e+05,0,16128,7.7263e+14,-2.5161e+20,1.7448e+26,2.4048e+05,-4512.8,-8.4087e+05,"stress_x_0",0,16128,7.7263e+14,-2.5161e+20,1.7448e+26,2.4048e+05,-4512.8,-8.4087e+05,"stress_x_0",0,16128,7.7263e+14,-2.5161e+20,1.7448e+26,2.4048e+05,-4512.8,-8.4087e+05,"stress_x_0",0,16128,7.7263e+14,-2.5161e+20,1.7448e+26,2.4048e+05,-4512.8,-8.4087e+05,"stress_x_0",0,16128,7.7263e+14,-2.5161e+20,1.7448e+26,2.4048e+05,-4512.8,-8.4087e+05,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.02,16128,3.1094e+15,-1.9574e+21,2.8434e+27,5.1107e+05,-16274,-1.7818e+06,0,16128,3.1094e+15,-1.9574e+21,2.8434e+27,5.1107e+05,-16274,-1.7818e+06,"stress_x_0",0,16128,3.1094e+15,-1.9574e+21,2.8434e+27,5.1107e+05,-16274,-1.7818e+06,"stress_x_0",0,16128,3.1094e+15,-1.9574e+21,2.8434e+27,5.1107e+05,-16274,-1.7818e+06,"stress_x_0",0,16128,3.1094e+15,-1.9574e+21,2.8434e+27,5.1107e+05,-16274,-1.7818e+06,"stress_x_0",0,16128,3.1094e+15,-1.9574e+21,2.8434e+27,5.1107e+05,-16274,-1.7818e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.03,16128,6.8777e+15,-6.6056e+21,1.4139e+28,7.3444e+05,-13348,-2.5317e+06,0,16128,6.8777e+15,-6.6056e+21,1.4139e+28,7.3444e+05,-13348,-2.5317e+06,"stress_x_0",0,16128,6.8777e+15,-6.6056e+21,1.4139e+28,7.3444e+05,-13348,-2.5317e+06,"stress_x_0",0,16128,6.8777e+15,-6.6056e+21,1.4139e+28,7.3444e+05,-13348,-2.5317e+06,"stress_x_0",0,16128,6.8777e+15,-6.6056e+21,1.4139e+28,7.3444e+05,-13348,-2.5317e+06,"stress_x_0",0,16128,6.8777e+15,-6.6056e+21,1.4139e+28,7.3444e+05,-13348,-2.5317e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.04,16128,1.209e+16,-1.5685e+22,4.3757e+28,9.5931e+05,-3866.1,-3.2515e+06,0,16128,1.209e+16,-1.5685e+22,4.3757e+28,9.5931e+05,-3866.1,-3.2515e+06,"stress_x_0",0,16128,1.209e+16,-1.5685e+22,4.3757e+28,9.5931e+05,-3866.1,-3.2515e+06,"stress_x_0",0,16128,1.209e+16,-1.5685e+22,4.3757e+28,9.5931e+05,-3866.1,-3.2515e+06,"stress_x_0",0,16128,1.209e+16,-1.5685e+22,4.3757e+28,9.5931e+05,-3866.1,-3.2515e+06,"stress_x_0",0,16128,1.209e+16,-1.5685e+22,4.3757e+28,9.5931e+05,-3866.1,-3.2515e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.05,16128,1.8883e+16,-3.0693e+22,1.0656e+29,1.1872e+06,-2121.9,-4.0887e+06,0,16128,1.8883e+16,-3.0693e+22,1.0656e+29,1.1872e+06,-2121.9,-4.0887e+06,"stress_x_0",0,16128,1.8883e+16,-3.0693e+22,1.0656e+29,1.1872e+06,-2121.9,-4.0887e+06,"stress_x_0",0,16128,1.8883e+16,-3.0693e+22,1.0656e+29,1.1872e+06,-2121.9,-4.0887e+06,"stress_x_0",0,16128,1.8883e+16,-3.0693e+22,1.0656e+29,1.1872e+06,-2121.9,-4.0887e+06,"stress_x_0",0,16128,1.8883e+16,-3.0693e+22,1.0656e+29,1.1872e+06,-2121.9,-4.0887e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.06,16128,2.7212e+16,-5.2994e+22,2.2032e+29,1.4459e+06,-3027.3,-4.904e+06,0,16128,2.7212e+16,-5.2994e+22,2.2032e+29,1.4459e+06,-3027.3,-4.904e+06,"stress_x_0",0,16128,2.7212e+16,-5.2994e+22,2.2032e+29,1.4459e+06,-3027.3,-4.904e+06,"stress_x_0",0,16128,2.7212e+16,-5.2994e+22,2.2032e+29,1.4459e+06,-3027.3,-4.904e+06,"stress_x_0",0,16128,2.7212e+16,-5.2994e+22,2.2032e+29,1.4459e+06,-3027.3,-4.904e+06,"stress_x_0",0,16128,2.7212e+16,-5.2994e+22,2.2032e+29,1.4459e+06,-3027.3,-4.904e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.07,16128,3.7028e+16,-8.4091e+22,4.0774e+29,1.6802e+06,-3270.1,-5.7249e+06,0,16128,3.7028e+16,-8.4091e+22,4.0774e+29,1.6802e+06,-3270.1,-5.7249e+06,"stress_x_0",0,16128,3.7028e+16,-8.4091e+22,4.0774e+29,1.6802e+06,-3270.1,-5.7249e+06,"stress_x_0",0,16128,3.7028e+16,-8.4091e+22,4.0774e+29,1.6802e+06,-3270.1,-5.7249e+06,"stress_x_0",0,16128,3.7028e+16,-8.4091e+22,4.0774e+29,1.6802e+06,-3270.1,-5.7249e+06,"stress_x_0",0,16128,3.7028e+16,-8.4091e+22,4.0774e+29,1.6802e+06,-3270.1,-5.7249e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.08,16128,4.8353e+16,-1.2552e+23,6.9542e+29,1.9317e+06,-3286,-6.5417e+06,0,16128,4.8353e+16,-1.2552e+23,6.9542e+29,1.9317e+06,-3286,-6.5417e+06,"stress_x_0",0,16128,4.8353e+16,-1.2552e+23,6.9542e+29,1.9317e+06,-3286,-6.5417e+06,"stress_x_0",0,16128,4.8353e+16,-1.2552e+23,6.9542e+29,1.9317e+06,-3286,-6.5417e+06,"stress_x_0",0,16128,4.8353e+16,-1.2552e+23,6.9542e+29,1.9317e+06,-3286,-6.5417e+06,"stress_x_0",0,16128,4.8353e+16,-1.2552e+23,6.9542e+29,1.9317e+06,-3286,-6.5417e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.09,16128,6.12e+16,-1.7868e+23,1.1134e+30,2.1518e+06,-3823.8,-7.361e+06,0,16128,6.12e+16,-1.7868e+23,1.1134e+30,2.1518e+06,-3823.8,-7.361e+06,"stress_x_0",0,16128,6.12e+16,-1.7868e+23,1.1134e+30,2.1518e+06,-3823.8,-7.361e+06,"stress_x_0",0,16128,6.12e+16,-1.7868e+23,1.1134e+30,2.1518e+06,-3823.8,-7.361e+06,"stress_x_0",0,16128,6.12e+16,-1.7868e+23,1.1134e+30,2.1518e+06,-3823.8,-7.361e+06,"stress_x_0",0,16128,6.12e+16,-1.7868e+23,1.1134e+30,2.1518e+06,-3823.8,-7.361e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
