"N","Time","avg(Cardinality)","avg(M2)","avg(M3)","avg(M4)","avg(Maximum)","avg(Mean)","avg(Minimum)","avg(vtkOriginalRowIds)","max(Cardinality)","max(M2)","max(M3)","max(M4)","max(Maximum)","max(Mean)","max(Minimum)","max(Variable)","max(vtkOriginalRowIds)","med(Cardinality)","med(M2)","med(M3)","med(M4)","med(Maximum)","med(Mean)","med(Minimum)","med(Variable)","med(vtkOriginalRowIds)","min(Cardinality)","min(M2)","min(M3)","min(M4)","min(Maximum)","min(Mean)","min(Minimum)","min(Variable)","min(vtkOriginalRowIds)","q1(Cardinality)","q1(M2)","q1(M3)","q1(M4)","q1(Maximum)","q1(Mean)","q1(Minimum)","q1(Variable)","q1(vtkOriginalRowIds)","q3(Cardinality)","q3(M2)","q3(M3)","q3(M4)","q3(Maximum)","q3(Mean)","q3(Minimum)","q3(Variable)","q3(vtkOriginalRowIds)","std(Cardinality)","std(M2)","std(M3)","std(M4)","std(Maximum)","std(Mean)","std(Minimum)","std(vtkOriginalRowIds)","vtkValidPointMask"
1,0,16128,0,0,0,0,0,0,0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.01,16128,8.8531e+15,-2.325e+20,1.9575e+28,2.3575e+06,-2132.1,-3.7306e+06,0,16128,8.8531e+15,-2.325e+20,1.9575e+28,2.3575e+06,-2132.1,-3.7306e+06,"stress_x_0",0,16128,8.8531e+15,-2.325e+20,1.9575e+28,2.3575e+06,-2132.1,-3.7306e+06,"stress_x_0",0,16128,8.8531e+15,-2.325e+20,1.9575e+28,2.3575e+06,-2132.1,-3.7306e+06,"stress_x_0",0,16128,8.8531e+15,-2.325e+20,1.9575e+28,2.3575e+06,-2132.1,-3.7306e+06,"stress_x_0",0,16128,8.8531e+15,-2.325e+20,1.9575e+28,2.3575e+06,-2132.1,-3.7306e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.02,16128,1.9049e+16,-3.7362e+20,8.7408e+28,3.1789e+06,-6990.2,-4.4604e+06,0,16128,1.9049e+16,-3.7362e+20,8.7408e+28,3.1789e+06,-6990.2,-4.4604e+06,"stress_x_0",0,16128,1.9049e+16,-3.7362e+20,8.7408e+28,3.1789e+06,-6990.2,-4.4604e+06,"stress_x_0",0,16128,1.9049e+16,-3.7362e+20,8.7408e+28,3.1789e+06,-6990.2,-4.4604e+06,"stress_x_0",0,16128,1.9049e+16,-3.7362e+20,8.7408e+28,3.1789e+06,-6990.2,-4.4604e+06,"stress_x_0",0,16128,1.9049e+16,-3.7362e+20,8.7408e+28,3.1789e+06,-6990.2,-4.4604e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.03,16128,4.0156e+16,-5.6648e+20,3.4982e+29,4.4451e+06,-1512.9,-6.0477e+06,0,16128,4.0156e+16,-5.6648e+20,3.4982e+29,4.4451e+06,-1512.9,-6.0477e+06,"stress_x_0",0,16128,4.0156e+16,-5.6648e+20,3.4982e+29,4.4451e+06,-1512.9,-6.0477e+06,"stress_x_0",0,16128,4.0156e+16,-5.6648e+20,3.4982e+29,4.4451e+06,-1512.9,-6.0477e+06,"stress_x_0",0,16128,4.0156e+16,-5.6648e+20,3.4982e+29,4.4451e+06,-1512.9,-6.0477e+06,"stress_x_0",0,16128,4.0156e+16,-5.6648e+20,3.4982e+29,4.4451e+06,-1512.9,-6.0477e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.04,16128,6.8689e+16,-1.4698e+21,9.4769e+29,5.5376e+06,-2990.8,-7.3956e+06,0,16128,6.8689e+16,-1.4698e+21,9.4769e+29,5.5376e+06,-2990.8,-7.3956e+06,"stress_x_0",0,16128,6.8689e+16,-1.4698e+21,9.4769e+29,5.5376e+06,-2990.8,-7.3956e+06,"stress_x_0",0,16128,6.8689e+16,-1.4698e+21,9.4769e+29,5.5376e+06,-2990.8,-7.3956e+06,"stress_x_0",0,16128,6.8689e+16,-1.4698e+21,9.4769e+29,5.5376e+06,-2990.8,-7.3956e+06,"stress_x_0",0,16128,6.8689e+16,-1.4698e+21,9.4769e+29,5.5376e+06,-2990.8,-7.3956e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.05,16128,1.0504e+17,-1.3e+21,2.0871e+30,6.5599e+06,-4339.2,-8.5754e+06,0,16128,1.0504e+17,-1.3e+21,2.0871e+30,6.5599e+06,-4339.2,-8.5754e+06,"stress_x_0",0,16128,1.0504e+17,-1.3e+21,2.0871e+30,6.5599e+06,-4339.2,-8.5754e+06,"stress_x_0",0,16128,1.0504e+17,-1.3e+21,2.0871e+30,6.5599e+06,-4339.2,-8.5754e+06,"stress_x_0",0,16128,1.0504e+17,-1.3e+21,2.0871e+30,6.5599e+06,-4339.2,-8.5754e+06,"stress_x_0",0,16128,1.0504e+17,-1.3e+21,2.0871e+30,6.5599e+06,-4339.2,-8.5754e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.06,16128,1.5152e+17,-2.2493e+21,4.3137e+30,7.9364e+06,-5508.9,-1.0446e+07,0,16128,1.5152e+17,-2.2493e+21,4.3137e+30,7.9364e+06,-5508.9,-1.0446e+07,"stress_x_0",0,16128,1.5152e+17,-2.2493e+21,4.3137e+30,7.9364e+06,-5508.9,-1.0446e+07,"stress_x_0",0,16128,1.5152e+17,-2.2493e+21,4.3137e+30,7.9364e+06,-5508.9,-1.0446e+07,"stress_x_0",0,16128,1.5152e+17,-2.2493e+21,4.3137e+30,7.9364e+06,-5508.9,-1.0446e+07,"stress_x_0",0,16128,1.5152e+17,-2.2493e+21,4.3137e+30,7.9364e+06,-5508.9,-1.0446e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.07,16128,2.0417e+17,-3.5893e+21,7.5812e+30,8.8988e+06,-5879.7,-1.1557e+07,0,16128,2.0417e+17,-3.5893e+21,7.5812e+30,8.8988e+06,-5879.7,-1.1557e+07,"stress_x_0",0,16128,2.0417e+17,-3.5893e+21,7.5812e+30,8.8988e+06,-5879.7,-1.1557e+07,"stress_x_0",0,16128,2.0417e+17,-3.5893e+21,7.5812e+30,8.8988e+06,-5879.7,-1.1557e+07,"stress_x_0",0,16128,2.0417e+17,-3.5893e+21,7.5812e+30,8.8988e+06,-5879.7,-1.1557e+07,"stress_x_0",0,16128,2.0417e+17,-3.5893e+21,7.5812e+30,8.8988e+06,-5879.7,-1.1557e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.08,16128,2.6604e+17,-6.8568e+21,1.28e+31,1.0055e+07,-5843.2,-1.3263e+07,0,16128,2.6604e+17,-6.8568e+21,1.28e+31,1.0055e+07,-5843.2,-1.3263e+07,"stress_x_0",0,16128,2.6604e+17,-6.8568e+21,1.28e+31,1.0055e+07,-5843.2,-1.3263e+07,"stress_x_0",0,16128,2.6604e+17,-6.8568e+21,1.28e+31,1.0055e+07,-5843.2,-1.3263e+07,"stress_x_0",0,16128,2.6604e+17,-6.8568e+21,1.28e+31,1.0055e+07,-5843.2,-1.3263e+07,"stress_x_0",0,16128,2.6604e+17,-6.8568e+21,1.28e+31,1.0055e+07,-5843.2,-1.3263e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.09,16128,3.3636e+17,-8.8149e+21,2.0262e+31,1.1204e+07,-9583.6,-1.4674e+07,0,16128,3.3636e+17,-8.8149e+21,2.0262e+31,1.1204e+07,-9583.6,-1.4674e+07,"stress_x_0",0,16128,3.3636e+17,-8.8149e+21,2.0262e+31,1.1204e+07,-9583.6,-1.4674e+07,"stress_x_0",0,16128,3.3636e+17,-8.8149e+21,2.0262e+31,1.1204e+07,-9583.6,-1.4674e+07,"stress_x_0",0,16128,3.3636e+17,-8.8149e+21,2.0262e+31,1.1204e+07,-9583.6,-1.4674e+07,"stress_x_0",0,16128,3.3636e+17,-8.8149e+21,2.0262e+31,1.1204e+07,-9583.6,-1.4674e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
